Nama Budaya,Jenis,Deskripsi,Daerah Asal,Rating,Provinsi
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,3.7,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.2,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.6,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,5,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,4.3,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4.2,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.6,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.3,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,3.5,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.8,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,3.7,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,3.8,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4.4,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.9,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.3,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4.3,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,3.8,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.2,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.5,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,4.1,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.3,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.7,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,3.7,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.3,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.4,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.2,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,3.9,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,5,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,5,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.7,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4.8,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.3,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.5,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.7,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,3.6,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4.7,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.2,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.6,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4.6,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,3.7,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.7,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,4.4,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.6,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.9,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,3.9,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.2,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.8,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,3.9,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4.1,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.9,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.6,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4.9,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.2,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.2,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.1,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,4.2,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,3.8,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,3.6,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.2,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4.5,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.5,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.4,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.8,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,4.1,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4.8,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.4,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.6,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4.5,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.7,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.3,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.5,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,3.8,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.6,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.2,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,3.9,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,5,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.8,Jawa Timur
