Budaya,Jenis,Deskripsi,Kota,Provinsi,Rating
Angklung,Musik,Alat musik bambu khas Sunda yang digetarkan.,Bandung,Jawa Barat,4.5
Wayang Golek,Kesenian,Wayang boneka kayu khas Sunda.,Bandung,Jawa Barat,4
Jaipongan,Tari,Tari energik dengan irama kendang dan gerakan dinamis.,Karawang,Jawa Barat,3.9
Tari Topeng Cirebon,Tari,Tarian topeng dengan karakter khas daerah Cirebon.,Cirebon,Jawa Barat,4.5
Seren Taun,Tradisi,Upacara syukur panen masyarakat Sunda.,Kuningan,Jawa Barat,4.6
Sisingaan,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan.,Subang,Jawa Barat,4.4
Comro,Kuliner,Gorengan berbahan singkong isi oncom.,Bandung,Jawa Barat,4.8
Batik Ciamis,Kerajinan,Batik khas Ciamis dengan motif flora fauna.,Ciamis,Jawa Barat,3.6
Tari Gambyong,Tari,Tari klasik Jawa dengan gerakan lembut.,Surakarta,Jawa Tengah,4.9
Batik Solo,Kerajinan,Batik dengan motif keraton yang klasik.,Solo,Jawa Tengah,4.2
Tari Lengger,Tari,Tari Banyumasan dengan iringan gamelan.,Banyumas,Jawa Tengah,4.6
Ebeg,Kesenian,Kuda lumping khas Banyumas.,Banyumas,Jawa Tengah,3.9
Wayang Kulit,Kesenian,Pertunjukan bayangan dari boneka kulit.,Surakarta,Jawa Tengah,3.8
Gunungan,Tradisi,Simbol hasil bumi yang diarak saat Grebeg.,Yogyakarta,DI Yogyakarta,4.1
Lumpia Semarang,Kuliner,Lumpia isi rebung khas Semarang.,Semarang,Jawa Tengah,4.9
Grebeg Sudiro,Tradisi,Perayaan Imlek dan Jawa bersatu.,Solo,Jawa Tengah,3.9
Reog Ponorogo,Kesenian,Pertunjukan dengan topeng barong besar.,Ponorogo,Jawa Timur,4.2
Tari Remo,Tari,Tari penyambutan tamu kehormatan.,Jombang,Jawa Timur,4
Ludruk,Kesenian,Teater tradisional berbahasa Jawa Timuran.,Surabaya,Jawa Timur,4.9
Karapan Sapi,Tradisi,Balap sapi khas Madura.,Sumenep,Jawa Timur,4.3
Tari Jaranan Buto,Tari,Tarian dengan topeng raksasa khas Banyuwangi.,Banyuwangi,Jawa Timur,4
Sate Madura,Kuliner,Sate ayam/kambing dengan bumbu kacang.,Pamekasan,Jawa Timur,3.7
Rujak Cingur,Kuliner,Salad tradisional dengan irisan cingur.,Surabaya,Jawa Timur,4.1
